Handler,Airport
Abelair Aviation,PFO
Aeroplan,SPU
AF Handling BOD,BOD
AF Handling LYS,LYS
AF Handling MRS,MRS
AF Handling NAP,NAP
AF Handling NCE,NCE
AF Handling NTE,NTE
AF Handling ORY,ORY
AF Handling TLS,TLS
AHO AIRPORT,AHO
AHS Berlin TXL,TXL
AHS DUS,DUS
AHS FRA,FRA
AHS HAM,HAM
AHS Munich,MUC
Airport Associates,KEF
Airport Handling S.P.A,MXP
Airpro Oy KTT,KTT
Alyzia Bordeaux,BOD
Alyzia CDG,CDG
Alyzia Lyon,LYS
Alyzia Marseille,MRS
Alyzia Montpellier,MPL
Alyzia Nantes,NTE
Alyzia ORY,ORY
Alyzia Toulouse,TLS
ARSMEX CUN,CUN
ARSMEX VRA,VRA
Avia Serve MALTA,MLA
Aviapartner ACE,ACE
Aviapartner Bordeaux,BOD
Aviapartner BRU,BRU
Aviapartner CTA,CTA
Aviapartner FCO,FCO
Aviapartner FUE,FUE
Aviapartner Lille,LIL
Aviapartner Lyon,LYS
Aviapartner Mahon,MAH
Aviapartner MPL,MPL
Aviapartner MRS,MRS
Aviapartner Nantes,NTE
Aviapartner NCE,NCE
Aviapartner Palermo,PMO
Aviapartner Strasbourg,SXB
Aviapartner Toulouse,TLS
Aviapartner VCE,VCE
AVIATION SOLUTION BERLIN,TXL
AVIATOR,CPH
BES AIRPORT,BES
BIQ AIRPORT,BIQ
BOJ airport,BOJ
Bratislava Airport,BTS
CAG AIRPORT,CAG
Casavia Ajaccio,AJA
Casavia Bastia,BIA
Casavia Calvi,CLY
Celebi AYT,AYT
CFE Airport,CFE
CFR airport,CFR
Chambery Airport,CMF
CRL Airport,CRL
DHL Gatwick,LGW
DHL Luton,LTN
DLE Airport,DLE
Dnata,ZRH
DTM AIRPORT,DTM
Dubrovnik Airport,DBV
EMAS Egyptian Marsa Alam Aviation Services,RMF
FSC AIRPORT,FSC
GEASAR,OLB
GEH Belgrade,BEG
GEH CDG,CDG
GEH ORY,ORY
GH Brindisi,BDS
GH ITALIA Verona,VRN
GH Napoli,NAP
GH Palermo,PMO
GH VENEZIA IT,VCE
GIB AIRPORT,GIB
GLOBE GROUND Malta,MLA
GNB AIRPORT,GNB
GOA AIRPORT,GOA
Goldair HER,HER
Goldair Sofia,SOF
Gozenair,ADB
GROUNDFORCE BIO,BIO
Groundforce FNC,FNC
GROUNDFORCE VLC,VLC
GTL LOT Airport Services,KTW
HAVAS DLM,DLM
HAVAS Ground Handling ADB,ADB
HAVAS Ground Handling AYT,AYT
HAVAS Ground Handling BJV,BJV
Hurghada,HRG
Iberia Airport Service GRX,GRX
Iberia Airport Service VLC,VLC
Iberia Airport Service VLL,VLL
INV AIRPORT,INV
Laufer Aviation TLV,TLV
Laufer Aviation VDA,VDA
LGS HANDLING Larnaca,LCA
LIN AIRPORT HANDLING,LIN
Link Aero Trading Agency,TCP
LINK Aero Trading Jordan,AQJ
LJUBLJANA Airport,LJU
LRT airport,LRT
LS AIRPORT,KRK
LUX AIRPORT,LUX
Malev ground handling BUD,BUD
Matotte Air Services,DZA
Melendez ACE,ACE
Melendez AGP,AGP
Melendez BCN,BCN
Melendez FUE,FUE
Melendez IBZ,IBZ
Melendez LPA,LPA
Melendez MAD,MAD
Melendez MAH,MAH
Melendez PMI,PMI
Melendez TFS,TFS
Melendez XRY,XRY
Menzies ABZ,ABZ
Menzies AGP,AGP
Menzies ALC,ALC
Menzies AMS,AMS
Menzies ARN,ARN
Menzies BCN,BCN
Menzies BHX,BHX
Menzies Budapest,BUD
Menzies IBZ,IBZ
Menzies IOM,IOM
Menzies LEI,LEI
Menzies MAD,MAD
Menzies MAN,MAN
Menzies MJV,MJV
Menzies NCE,NCE
Menzies PMI,PMI
Menzies PRG,PRG
Menzies SCQ,SCQ
Menzies SVQ,SVQ
Menzies Tenerife Sud,TFS
Nassau flt services,ZSA
Nice Handling,NCE
OFS Orly Flight Services,ORY
PISA AIRPORT,PSA
Portway FAO,FAO
Portway FNC,FNC
Portway LIS,LIS
Portway OPO,OPO
PRN AIRPORT,PRN
PUY AIRPORT,PUY
QAS ISRAEL,TLV
RNS AIRPORT,RNS
Royal Air Maroc Agadir,AGA
Royal Air Maroc Esuat,ESU
Royal Air Maroc Handling Oujda,OUD
Royal Air Maroc RAK,RAK
Royal Air Maroc TNG,TNG
Royal Air Maroc TTU,TTU
RTG Ground Handling Oy,IVL
SAS BOO,BOO
SAS Ground Handling Norway,BGO
SAS TOS,TOS
SAS TRD,TRD
SHS Dakar,DKR
Sky Handling Boston,BOS
Sky Handling Cork,ORK
Sky handling Dublin,DUB
Sky Handling Heathrow,LHR
Sky Handling Shannon,SNN
Skyserv Alexandroupolis,AXD
Skyserv AOK,AOK
Skyserv Athenes,ATH
Skyserv CFU,CFU
Skyserv Chania,CHQ
Skyserv Chios,JKH
Skyserv EFL,EFL
Skyserv GPA,GPA
Skyserv Heraklion,HER
Skyserv IOA,IOA
Skyserv Kalamata,KLX
Skyserv Kastoria,KSQ
Skyserv Kavala,KVA
Skyserv Kozani,KZI
Skyserv Kythira,KIT
Skyserv Milos,MLO
Skyserv Mykonos,JMK
Skyserv Mytilini,MJT
Skyserv Preveza,PVK
Skyserv Rhodos,RHO
Skyserv Samos,SMI
Skyserv Santorini,JTR
Skyserv Sitia,JSH
Skyserv Skiathos,JSI
Skyserv Thessaloniki,SKG
Skyserv Volos,VOL
Skyserv Zakynthos,ZTH
SO.A.CO Comiso Airport,CIY
Split Airport,SPU
STOBART AVIATION Stansted,STN
STR AIRPORT,STR
Swissport Agadir,AGA
Swissport Alicante,ALC
Swissport Almeria,LEI
Swissport Athenes,ATH
Swissport AZS,AZS
Swissport Barcelone,BCN
Swissport BFS,BFS
Swissport BRS,BRS
Swissport Bruxelles,BRU
Swissport BSL,BSL
Swissport CFU,CFU
Swissport CHQ,CHQ
Swissport Dublin,DUB
Swissport EDI,EDI
Swissport EFL,EFL
Swissport Fuerteventura,FUE
Swissport Gerona,GRO
Swissport GLA,GLA
Swissport Grenade,GRX
Swissport GVA,GVA
Swissport Helsinki,HEL
Swissport Heraklion,HER
Swissport Ibiza,IBZ
Swissport JER,JER
Swissport Jerez,XRY
Swissport JFK,JFK
Swissport JMK,JMK
Swissport JTR,JTR
Swissport KEF,KEF
Swissport KGS,KGS
Swissport KLX,KLX
Swissport La Palma,SPC
Swissport Lanzarote,ACE
Swissport Las Palmas,LPA
Swissport LGW,LGW
Swissport LPL,LPL
Swissport LRM,LRM
Swissport Madrid,MAD
Swissport Malaga,AGP
Swissport MIA,MIA
Swissport Murcia,MJV
Swissport NCL,NCL
Swissport OTP,OTP
Swissport Palma de Majorque,PMI
Swissport PFO,PFO
Swissport POP,POP
Swissport PUJ,PUJ
Swissport RAK,RAK
Swissport Reus,REU
Swissport RHO,RHO
Swissport Seville,SVQ
Swissport SFO,SFO
Swissport SKG,SKG
Swissport STN,STN
Swissport Tenerife Sud,TFS
Swissport Valence,VLC
Swissport Vigo,VGO
Swissport Volos,VOL
Swissport Zakynthos,ZTH
Swissport ZRH,ZRH
TACV BVC,BVC
TACV SID,SID
TAV Handling,NBE
TGS SAW,SAW
TLL AIRPORT,TLL
TLN Airport,TLN
TS Antilles FDF,FDF
TS Antilles PTP,PTP
Tunisair Handling DJE,DJE
Tunisair Handling MIR,MIR
Tunisair Handling TOE,TOE
Tunisair Handling TUN,TUN
VIENNA AIRPORT,VIE
WFS EDI,EDI
WISAG Berlin,SXF
WISAG Cologne,CGN
Zadar Airport,ZAD
Zagreb Airport,ZAG
Celebi ADB,ADB
Flightcare,AGP
Royal Jordanian AMM,AMM
Royal Jordanian AQJ,AQJ
IAB,ASW
Olympic handling,ATH
SEAP,BDS
Celebi BJV,BJV
Skyport,BTS
Celebi BUD,BUD
BVA airport,BVA
Sogaerdyn,CAG
Egyptair CAI,CAI
Olympic handling CFU,CFU
Flycare,CIA
Guinée Aviation Services,CKY
CND airport,CND
AHS CSK,CSK
Saga Handling,CTA
Dijon airport,DIJ
AHS Dakar,DKR
QAS handling,ETH
Groundforce FAO,FAO
Forli Airport,FRL
Scala,FSC
Olympic Handling GPA,GPA
Olympic Handling HER,HER
Thai Airways handling,HKT
Egyptair handling,HRG
Acciona,IBZ
Celebi IST,IST
AID,JIB
Olympic handling JMK,JMK
Olympic Handling JTR,JTR
IGS,KEF
Olympic handling KGS,KGS
KRK airport services,KRK
LIG airport,LIG
Groundforce LIS,LIS
Egyptair LXR,LXR
Kenya aerotech,MBA
WARL,MLA
GMIAL MLE,MLE
Kenya aerotech NBO,NBO
Sogeap,PMF
Acciona,PMI
Iscar,PMV
Olympic Handling RHO,RHO
Aeradria,RMI
Aviapartner RTM,RTM
Celebi SAW,SAW
Iberia Airport Service SCQ,SCQ
Swissport SDQ,SDQ
Olympic Handling SKG,SKG
Egypt Air SSH,SSH
SAS SVG,SVG
Groundforce SVQ,SVQ
Egyptair handling TCP,TCP
Semaval,TUF
CDSL,UVF
Fraport,VAR
QAS VDA,VDA
Aviohandling,VRN
AF Handling CDG,CDG
AF Handling MLH,MLH
AF Handling MLH,BSL
